,g/h,l,m,res_lon[deg],dg[nT],g[nT],"dist_min, Leeds","G_dist[deg/nT], Leeds","dist_min, Dunedin","G_dist[deg/nT], Dunedin","dist_min, Edmonton","G_dist[deg/nT], Edmonton","dist_min, Salekhard","G_dist[deg/nT], Salekhard"
142,h,8.0,4.0,0.5,-441.7782237790679,-453.4782237790679,12.982356031882125,1.4190832562101718e-05,11.681226670071485,2.2498212159974756e-05,1.9732034441419648,-0.00011458094387685924,0.7691098191031852,-0.00011239743950117402
143,h,8.0,4.0,0.5,441.7782237790679,430.0782237790679,12.982356031882125,2.5549640731475054e-05,11.681226670071485,2.845639180077597e-05,1.9732034441419648,-0.00010932365590974649,0.7691098191031852,-0.00011167597589333342
144,g,8.0,5.0,0.5,-441.7782237790679,-426.4782237790679,12.982356031882125,0.00020071215631095306,11.681226670071485,-0.0002726648370738709,1.9732034441419648,-8.368056553083414e-05,0.7691098191031852,4.458944719266014e-05
145,g,8.0,5.0,0.5,441.7782237790679,457.0782237790679,12.982356031882125,0.00019978625554150495,11.681226670071485,-0.0002680966563434451,1.9732034441419648,-8.124206351871282e-05,0.7691098191031852,4.462513913346859e-05
146,h,8.0,5.0,0.5,-441.7782237790679,-426.8782237790679,12.982356031882125,-1.6446030902789695e-06,11.681226670071485,0.00012209701347154627,1.9732034441419648,9.671772192485897e-05,0.7691098191031852,-2.5665870895356542e-05
147,h,8.0,5.0,0.5,441.7782237790679,456.6782237790679,12.982356031882125,1.9997757059412715e-06,11.681226670071485,0.00012770999659243845,1.9732034441419648,9.940136739589648e-05,0.7691098191031852,-2.5101792832614745e-05
148,g,8.0,6.0,0.5,-441.7782237790679,-428.0782237790679,12.982356031882125,6.935765088797967e-05,11.681226670071485,-0.00012785932895344722,1.9732034441419648,6.436341342327586e-05,0.7691098191031852,1.2761459795830667e-05
149,g,8.0,6.0,0.5,441.7782237790679,455.4782237790679,12.982356031882125,6.90704053157003e-05,11.681226670071485,-0.00012701920420816855,1.9732034441419648,6.438100847763222e-05,0.7691098191031852,1.2765919889673913e-05
150,h,8.0,6.0,0.5,-441.7782237790679,-438.1782237790679,12.982356031882125,-2.699545382641786e-06,11.681226670071485,9.676238994744317e-05,1.9732034441419648,2.034489641082589e-05,0.7691098191031852,9.066990656337099e-06
151,h,8.0,6.0,0.5,441.7782237790679,445.3782237790679,12.982356031882125,-2.1934244931495444e-06,11.681226670071485,9.774228603003768e-05,1.9732034441419648,2.129845032982318e-05,0.7691098191031852,9.10686254409227e-06
152,g,8.0,7.0,0.5,-441.7782237790679,-458.2782237790679,12.982356031882125,1.6394503713695757e-05,11.681226670071485,-3.650625241192637e-05,1.9732034441419648,-2.310481234574979e-06,0.7691098191031852,-5.98498672777497e-07
153,g,8.0,7.0,0.5,441.7782237790679,425.2782237790679,12.982356031882125,1.6370102533398334e-05,11.681226670071485,-3.638784888482407e-05,1.9732034441419648,-2.1688504233346635e-06,0.7691098191031852,-5.945804859148163e-07
154,h,8.0,7.0,0.5,-441.7782237790679,-448.6782237790679,12.982356031882125,-1.0207596091012708e-06,11.681226670071485,4.0299660196340245e-05,1.9732034441419648,-2.2622219331543234e-05,0.7691098191031852,3.232394246707002e-06
155,h,8.0,7.0,0.5,441.7782237790679,434.8782237790679,12.982356031882125,-9.883515422148454e-07,11.681226670071485,4.03037176352815e-05,1.9732034441419648,-2.2684839411710027e-05,0.7691098191031852,3.2300941632239067e-06
156,g,8.0,8.0,0.5,-441.7782237790679,-442.0782237790679,12.982356031882125,2.4277259014304256e-06,11.681226670071485,-5.875444145999657e-06,1.9732034441419648,-3.965117104610343e-06,0.7691098191031852,-4.1831214842453217e-07
157,g,8.0,8.0,0.5,441.7782237790679,441.4782237790679,12.982356031882125,2.427019979880801e-06,11.681226670071485,-5.8683432149849406e-06,1.9732034441419648,-3.966911669187975e-06,0.7691098191031852,-4.183637935484566e-07
158,h,8.0,8.0,0.5,-441.7782237790679,-438.9782237790679,12.982356031882125,-1.773700748913116e-07,11.681226670071485,9.15477968963925e-06,1.9732034441419648,2.2902885805498535e-06,0.7691098191031852,1.0874533344300203e-07
159,h,8.0,8.0,0.5,441.7782237790679,444.5782237790679,12.982356031882125,-1.765716998288852e-07,11.681226670071485,9.149704606919917e-06,1.9732034441419648,2.2943725499604386e-06,0.7691098191031852,1.0881825822642845e-07
160,g,9.0,0.0,0.5,-594.1215927420043,-589.1215927420043,12.982356031882125,1.4364110673205741e-05,11.681226670071485,0.0003464876518500217,1.9732034441419648,0.00015350673944992523,0.7691098191031852,-4.4897049369017806e-05
161,g,9.0,0.0,0.5,594.1215927420043,599.1215927420043,12.982356031882125,1.3198697523277244e-05,11.681226670071485,0.00034591042403367005,1.9732034441419648,0.0001514368717823764,0.7691098191031852,-4.1184820791957836e-05
162,g,9.0,1.0,0.5,-594.1215927420043,-585.7215927420043,12.982356031882125,-0.0006738408263919713,11.681226670071485,6.7613446063222005e-06,1.9732034441419648,2.012079670408147e-05,0.7691098191031852,-0.00010428261377542663
