,g/h,l,m,res_lon[deg],dg[nT],g[nT],loncN[deg],latcN[deg],loncS[deg],latcS[deg],G_N_centroid[deg/nT],G_S_centroid[deg/nT],G_N_centroid_lon[deg/nT],G_S_centroid_lon[deg/nT],G_N_centroid_lat[deg/nT],G_S_centroid_lat[deg/nT]
166,g,9.0,2.0,0.5,-594.1215927420043,-591.2215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0006142359199379387,-0.00175465852628304,0.0006134448093239339,0.0017542950282031994,0.0002705746112479213,-6.808385664885147e-05
167,g,9.0,2.0,0.5,594.1215927420043,597.0215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0006512485047668955,0.001794836213736332,0.000650516552954102,0.0017945471927143359,0.0002536737613427918,-5.9631025811347904e-05
168,h,9.0,2.0,0.5,-594.1215927420043,-583.1215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0020501961827181937,-0.0006682704125841985,-0.00205017418287929,-0.0006629784712121023,7.39152046605136e-05,-0.0001568141202125001
169,h,9.0,2.0,0.5,594.1215927420043,605.1215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0020771531587317287,0.0006828423801884902,-0.0020771469369071996,-0.0006781690759897069,4.7449722300529866e-05,-0.00015065864470439427
170,g,9.0,3.0,0.5,-594.1215927420043,-595.6215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0008733156136010645,-0.00021849897821807145,-0.0008733084309218182,0.0001838683726026172,2.884475316249734e-05,-0.00022207857906019694
171,g,9.0,3.0,0.5,594.1215927420043,592.6215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0008989592676160322,0.00023800041740342507,-0.0008989553901881467,0.0002074292037596729,2.3230471811833027e-05,-0.00021883178882781568
172,h,9.0,3.0,0.5,-594.1215927420043,-584.3215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.00028251953047790564,-0.0013215132154470136,-0.000282021104729937,-0.0013214207846235942,-0.00013999167696534786,-2.9046232046031047e-05
173,h,9.0,3.0,0.5,594.1215927420043,603.9215927420042,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0002990049570410577,0.0013305526770786052,-0.0002985171380697686,-0.0013305330612253942,-0.0001461287041615043,-1.3723655763607385e-05
174,g,9.0,4.0,0.5,-594.1215927420043,-595.2215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-9.317257998468977e-05,-0.00046040839108351,-9.297978935392499e-05,-0.00045958164407700075,-5.040158749827384e-05,-5.161140956783726e-05
175,g,9.0,4.0,0.5,594.1215927420043,593.0215927420043,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,9.51629785184925e-05,0.000464822761717258,-9.502451320048661e-05,-0.00046395019318347283,-4.3529097180569055e-05,-5.3682089903194195e-05
